10:08:06.857 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Max value of array = 2.4

10:08:06.858 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-3.6, 0.7, 2.7, 2.6, 2.4, 1.3, -1.0, -2.2, -3.6, 2.6]
10:08:06.858 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:08:06.858 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Start ArrayLogic.findMinValueOfArray()
10:08:06.859 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Array = CustomerArray[-3.6, 0.7, 2.7, 2.6, 2.4, 1.3, -1.0, -2.2, -3.6, 2.6]
10:08:06.859 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Min value of array = -3.6

10:08:06.860 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[1.8, -4.3, -3.5, 1.8, -0.9, -4.5, 0.4, 1.1, 1.3, 2.4]
10:08:06.860 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:08:06.860 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Start ArrayLogic.findMinValueOfArray()
10:08:06.860 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Array = CustomerArray[1.8, -4.3, -3.5, 1.8, -0.9, -4.5, 0.4, 1.1, 1.3, 2.4]
10:08:06.860 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Min value of array = -4.5

10:08:06.861 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Start ArrayLogic.sumElementsOfArray()
10:08:06.861 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[1.0, 2.5, -3.1, 6.0]
10:08:06.861 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:08:06.861 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Array = CustomerArray[1.0, 2.5, -3.1, 6.0]
10:08:06.862 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Sum of array = 6.4

10:08:06.863 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start countNegativeValueOfArray()
10:08:06.863 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[1.0, 2.5, -3.1, 6.0]
10:08:06.863 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:08:06.863 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[1.0, 2.5, -3.1, 6.0]
10:08:06.863 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Number negative elements of array = 1

10:08:06.864 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start countPositiveValueOfArray()
10:08:06.864 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[1.0, 2.5, -3.1, 6.0]
10:08:06.864 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:08:06.864 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[1.0, 2.5, -3.1, 6.0]
10:08:06.865 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Number positive elements of array = 3

10:08:06.865 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start ArrayLogic.exchangeNumberOfArrayToOtherNumber()
10:08:06.866 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[1.0, 2.5, -3.1, 6.0]
