10:18:13.152 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Min value of array = -4.5

10:18:13.153 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Start ArrayLogic.sumElementsOfArray()
10:18:13.153 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[1.0, 2.5, -3.1, 6.0]
10:18:13.153 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.153 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Array = CustomerArray[1.0, 2.5, -3.1, 6.0]
10:18:13.153 [main] INFO  service.impl.ArrayArithmeticLogicWithStreamImpl - Sum of array = 6.4

10:18:13.154 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start countNegativeValueOfArray()
10:18:13.154 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[1.0, 2.5, -3.1, 6.0]
10:18:13.154 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.155 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[1.0, 2.5, -3.1, 6.0]
10:18:13.155 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Number negative elements of array = 1

10:18:13.155 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start countPositiveValueOfArray()
10:18:13.155 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[1.0, 2.5, -3.1, 6.0]
10:18:13.156 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.156 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[1.0, 2.5, -3.1, 6.0]
10:18:13.156 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Number positive elements of array = 3

10:18:13.156 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Start ArrayLogic.exchangeNumberOfArrayToOtherNumber()
10:18:13.157 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[1.0, 2.5, -3.1, 6.0]
10:18:13.157 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.157 [main] INFO  service.impl.ArrayArithmeticLogicImpl - Array = CustomerArray[1.0, 2.5, -3.1, 6.0]
