08:58:41.763 [main] INFO  service.Impl.ArrayArithmeticLogicImpl findMinValueOfArray - Start ArrayLogic.findMinValueOfArray()
08:58:41.763 [main] INFO  service.Impl.ArrayArithmeticLogicImpl findMinValueOfArray - Array = CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
08:58:41.764 [main] INFO  service.Impl.ArrayArithmeticLogicImpl findMinValueOfArray - Min value of array = -1.8

08:58:41.764 [main] INFO  service.Impl.ArrayArithmeticLogicImpl findAverageValueOfArray - Start findAverageValueOfArray()
08:58:41.764 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Start validating array: CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
08:58:41.764 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Validating is: true
08:58:41.764 [main] INFO  service.Impl.ArrayArithmeticLogicImpl findAverageValueOfArray - Array = CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
08:58:41.764 [main] INFO  service.Impl.ArrayArithmeticLogicImpl sumElementsOfArray - Start ArrayLogic.sumElementsOfArray()
08:58:41.764 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Start validating array: CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
08:58:41.765 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Validating is: true
08:58:41.765 [main] INFO  service.Impl.ArrayArithmeticLogicImpl sumElementsOfArray - Array = CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
08:58:41.765 [main] INFO  service.Impl.ArrayArithmeticLogicImpl sumElementsOfArray - Sum of array = 8.0

08:58:41.765 [main] INFO  service.Impl.ArrayArithmeticLogicImpl findAverageValueOfArray - Average value of array = 1.3333333333333333

08:58:41.765 [main] INFO  service.Impl.ArrayArithmeticLogicImpl exchangeNumberOfArrayToOtherNumber - Start ArrayLogic.exchangeNumberOfArrayToOtherNumber()
08:58:41.766 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Start validating array: CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
08:58:41.766 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Validating is: true
08:58:41.766 [main] INFO  service.Impl.ArrayArithmeticLogicImpl exchangeNumberOfArrayToOtherNumber - Array = CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
08:58:41.766 [main] INFO  service.Impl.ArrayArithmeticLogicImpl exchangeNumberOfArrayToOtherNumber - New array = [-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
08:58:41.766 [main] INFO  service.Impl.ArrayArithmeticLogicImpl exchangeNumberOfArrayToOtherNumber - New array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]

08:58:41.767 [main] INFO  service.Impl.ArrayArithmeticLogicImpl countNegativeValueOfArray - Start countNegativeValueOfArray()
08:58:41.767 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
08:58:41.767 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Validating is: true
08:58:41.767 [main] INFO  service.Impl.ArrayArithmeticLogicImpl countNegativeValueOfArray - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
08:58:41.767 [main] INFO  service.Impl.ArrayArithmeticLogicImpl countNegativeValueOfArray - Number negative elements of array = 2

08:58:41.768 [main] INFO  service.Impl.ArrayArithmeticLogicImpl countPositiveValueOfArray - Start countPositiveValueOfArray()
08:58:41.768 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
08:58:41.768 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Validating is: true
08:58:41.768 [main] INFO  service.Impl.ArrayArithmeticLogicImpl countPositiveValueOfArray - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
08:58:41.769 [main] INFO  service.Impl.ArrayArithmeticLogicImpl countPositiveValueOfArray - Number positive elements of array = 4

08:58:41.769 [main] INFO  service.Impl.ArrayArithmeticLogicImpl findMaxValueOfArray - Start ArrayLogic.findMaxValueOfArray()
08:58:41.770 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
08:58:41.770 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Validating is: true
08:58:41.770 [main] INFO  service.Impl.ArrayArithmeticLogicImpl findMaxValueOfArray - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
08:58:41.770 [main] INFO  service.Impl.ArrayArithmeticLogicImpl findMaxValueOfArray - Max value of array = 8.7

08:58:41.770 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
08:58:41.770 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Validating is: true
08:58:41.770 [main] INFO  service.Impl.ArrayArithmeticLogicImpl findMinValueOfArray - Start ArrayLogic.findMinValueOfArray()
08:58:41.770 [main] INFO  service.Impl.ArrayArithmeticLogicImpl findMinValueOfArray - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
08:58:41.770 [main] INFO  service.Impl.ArrayArithmeticLogicImpl findMinValueOfArray - Min value of array = -1.8

08:58:41.770 [main] INFO  service.Impl.ArrayArithmeticLogicImpl sumElementsOfArray - Start ArrayLogic.sumElementsOfArray()
08:58:41.770 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
08:58:41.771 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Validating is: true
08:58:41.771 [main] INFO  service.Impl.ArrayArithmeticLogicImpl sumElementsOfArray - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
08:58:41.771 [main] INFO  service.Impl.ArrayArithmeticLogicImpl sumElementsOfArray - Sum of array = 8.0

08:58:41.771 [main] INFO  service.Impl.ArrayArithmeticLogicImpl findAverageValueOfArray - Start findAverageValueOfArray()
08:58:41.771 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
08:58:41.771 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Validating is: true
08:58:41.771 [main] INFO  service.Impl.ArrayArithmeticLogicImpl findAverageValueOfArray - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
08:58:41.771 [main] INFO  service.Impl.ArrayArithmeticLogicImpl sumElementsOfArray - Start ArrayLogic.sumElementsOfArray()
08:58:41.771 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
08:58:41.771 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Validating is: true
08:58:41.771 [main] INFO  service.Impl.ArrayArithmeticLogicImpl sumElementsOfArray - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
08:58:41.771 [main] INFO  service.Impl.ArrayArithmeticLogicImpl sumElementsOfArray - Sum of array = 8.0

08:58:41.772 [main] INFO  service.Impl.ArrayArithmeticLogicImpl findAverageValueOfArray - Average value of array = 1.3333333333333333

08:58:41.772 [main] INFO  service.Impl.ArrayArithmeticLogicWithStreamImpl exchangeNumberOfArrayToOtherNumber - Start ArrayLogic.exchangeNumberOfArrayToOtherNumber()
08:58:41.772 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
08:58:41.772 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Validating is: true
08:58:41.772 [main] INFO  service.Impl.ArrayArithmeticLogicWithStreamImpl exchangeNumberOfArrayToOtherNumber - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
08:58:41.773 [main] INFO  service.Impl.ArrayArithmeticLogicWithStreamImpl exchangeNumberOfArrayToOtherNumber - New array = [-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
08:58:41.774 [main] INFO  service.Impl.ArrayArithmeticLogicWithStreamImpl countNegativeValueOfArray - Start countNegativeValueOfArray()
08:58:41.774 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
08:58:41.774 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Validating is: true
08:58:41.774 [main] INFO  service.Impl.ArrayArithmeticLogicWithStreamImpl countNegativeValueOfArray - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
08:58:41.775 [main] INFO  service.Impl.ArrayArithmeticLogicWithStreamImpl countNegativeValueOfArray - Number negative elements of array = 2

08:58:41.775 [main] INFO  service.Impl.ArrayArithmeticLogicWithStreamImpl countPositiveValueOfArray - Start countPositiveValueOfArray()
08:58:41.776 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Start validating array: CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
08:58:41.776 [main] INFO  task.validator.ValidatorCustomerArray checkSizeOfArray - Validating is: true
08:58:41.776 [main] INFO  service.Impl.ArrayArithmeticLogicWithStreamImpl countPositiveValueOfArray - Array = CustomerArray[-1.8, -1.0, 8.7, 1.3, 6.1, 8.0]
08:58:41.776 [main] INFO  service.Impl.ArrayArithmeticLogicWithStreamImpl countPositiveValueOfArray - Number positive elements of array = 4

08:58:41.776 [main] INFO  task.creator.CustomerArrayCreator createCustomerArray - Start creating CustomArray
08:58:41.777 [main] INFO  task.creator.CustomerArrayCreator createCustomerArray - CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
