09:16:54.394 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
09:16:54.394 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Array :[9.0, 3.3, 5.6, 8.9, 5.6, -8.0, -4.5, 1.2]
09:16:54.394 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Start sort by merge.
09:16:54.394 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[9.0, 3.3, 5.6, 8.9]
09:16:54.395 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
09:16:54.395 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Array :[9.0, 3.3, 5.6, 8.9]
09:16:54.395 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Start sort by merge.
09:16:54.395 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[9.0, 3.3]
09:16:54.395 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
09:16:54.395 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Array :[9.0, 3.3]
09:16:54.395 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Start sort by merge.
09:16:54.395 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[9.0]
09:16:54.395 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
09:16:54.395 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Array :[9.0]
09:16:54.395 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Start sort by merge.
09:16:54.395 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[3.3]
09:16:54.395 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
09:16:54.395 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Array :[3.3]
09:16:54.395 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Start sort by merge.
09:16:54.395 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[5.6, 8.9]
09:16:54.395 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
09:16:54.395 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Array :[5.6, 8.9]
09:16:54.395 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Start sort by merge.
09:16:54.396 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[5.6]
09:16:54.396 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
09:16:54.396 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Array :[5.6]
09:16:54.396 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Start sort by merge.
09:16:54.396 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[8.9]
09:16:54.396 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
09:16:54.396 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Array :[8.9]
09:16:54.396 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Start sort by merge.
09:16:54.396 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[5.6, -8.0, -4.5, 1.2]
09:16:54.396 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
09:16:54.396 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Array :[5.6, -8.0, -4.5, 1.2]
09:16:54.396 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Start sort by merge.
09:16:54.396 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[5.6, -8.0]
09:16:54.396 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
09:16:54.396 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Array :[5.6, -8.0]
09:16:54.396 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Start sort by merge.
09:16:54.396 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[5.6]
09:16:54.396 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
09:16:54.396 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Array :[5.6]
09:16:54.396 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Start sort by merge.
09:16:54.397 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-8.0]
09:16:54.397 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
09:16:54.397 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Array :[-8.0]
09:16:54.397 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Start sort by merge.
09:16:54.397 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-4.5, 1.2]
09:16:54.397 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
09:16:54.397 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Array :[-4.5, 1.2]
09:16:54.397 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Start sort by merge.
09:16:54.397 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-4.5]
09:16:54.397 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
09:16:54.397 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Array :[-4.5]
09:16:54.397 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Start sort by merge.
09:16:54.397 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[1.2]
09:16:54.397 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
09:16:54.397 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Array :[1.2]
09:16:54.398 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Start sort by merge.
09:16:54.398 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[5.6, 4.8, -1.2, -6.3, -8.0, -5.0, 6.3, 5.7]
09:16:54.398 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
09:16:54.399 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Array :[5.6, 4.8, -1.2, -6.3, -8.0, -5.0, 6.3, 5.7]
09:16:54.399 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Start sort by merge.
09:16:54.399 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[5.6, 4.8, -1.2, -6.3]
09:16:54.399 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
09:16:54.399 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Array :[5.6, 4.8, -1.2, -6.3]
09:16:54.399 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Start sort by merge.
09:16:54.399 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[5.6, 4.8]
09:16:54.399 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
09:16:54.399 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Array :[5.6, 4.8]
09:16:54.399 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Start sort by merge.
09:16:54.399 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[5.6]
09:16:54.399 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
09:16:54.399 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Array :[5.6]
09:16:54.399 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Start sort by merge.
09:16:54.399 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[4.8]
09:16:54.399 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
09:16:54.399 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Array :[4.8]
09:16:54.399 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Start sort by merge.
09:16:54.399 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.2, -6.3]
