10:18:13.188 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.188 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[-8.0, -5.0]
10:18:13.188 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
10:18:13.188 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-8.0]
10:18:13.189 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.189 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[-8.0]
10:18:13.189 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
10:18:13.189 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-5.0]
10:18:13.189 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.189 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[-5.0]
10:18:13.189 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
10:18:13.189 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[6.3, 5.7]
10:18:13.189 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.189 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[6.3, 5.7]
10:18:13.189 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
10:18:13.189 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[6.3]
10:18:13.189 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.189 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[6.3]
10:18:13.189 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
10:18:13.189 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[5.7]
10:18:13.189 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:18:13.189 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[5.7]
10:18:13.190 [main] INFO  task.validator.ValidatorParseStringOfDouble - Start to validate string: 3.6 5.9 5в6 -9.7
10:18:13.190 [main] INFO  task.validator.ValidatorParseStringOfDouble - Validating is: false
10:18:13.191 [main] INFO  task.validator.ValidatorParseStringOfDouble - Start to validate string: -1.8, 9.6,8.7, 1.3 6.1 8 0
10:18:13.191 [main] INFO  task.validator.ValidatorParseStringOfDouble - Validating is: true
10:18:13.192 [main] INFO  task.validator.ValidatorParseStringOfDouble - Start to validate string: 9.8 6 8.7, 8.9
10:18:13.192 [main] INFO  task.validator.ValidatorParseStringOfDouble - Validating is: true
10:18:13.192 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[]
